DATE,RVI,RMSE,INCIDENCE,ELEVATION,DIRECTION,DLAT,DLON,ZIPFILE
2019-10-10,2.027877803218555,0.019919047346072163,17.547656355902983,15.633171152088686,-1,0.059518436354530024,0.9873419733953668,S1A_IW_GRDH_1SDV_20191010T085321_20191010T085346_029394_0357A9_751E.zip
2019-10-17,2.018271524150486,0.012396653679462917,24.14694770537683,21.229360639304666,-1,0.34804858721478027,-1.003457966902225,S1A_IW_GRDH_1SDV_20191017T084512_20191017T084537_029496_035B2E_9F4A.zip
2019-10-22,2.023852087800508,0.01603364909954323,17.654964468878582,15.728809399080328,-1,0.059415763409795375,0.9876239866417791,S1A_IW_GRDH_1SDV_20191022T085321_20191022T085346_029569_035DB4_AF6F.zip
2019-11-03,2.0282379879604693,0.01995563435665522,17.63224838485904,15.708677957461612,-1,0.05943502224346986,0.9887770990369944,S1A_IW_GRDH_1SDV_20191103T085321_20191103T085346_029744_0363D1_B03E.zip
2019-11-10,2.020812296815517,0.014014196313877387,24.272398410170737,21.339751879959685,-1,0.34802071817630065,-1.0028201417579865,S1A_IW_GRDH_1SDV_20191110T084512_20191110T084537_029846_036766_4218.zip
2019-11-15,2.024733809917205,0.01623254199709027,17.636686373147466,15.712615185280313,-1,0.05949118674585563,0.9885921877289832,S1A_IW_GRDH_1SDV_20191115T085321_20191115T085346_029919_0369F4_4F33.zip
2019-11-27,2.0304379869426015,0.02102602545845343,17.63583847295045,15.711804925201095,-1,0.059559136941345514,0.9879670105133798,S1A_IW_GRDH_1SDV_20191127T085321_20191127T085346_030094_037008_508E.zip
2019-12-04,2.022391719417046,0.014774366799608344,24.425896267883694,21.47469566793895,-1,0.34789293397411925,-1.0029458020213156,S1A_IW_GRDH_1SDV_20191204T084512_20191204T084537_030196_037387_471A.zip
2019-12-09,2.0304996827678514,0.020358434517862536,17.636868037894388,15.712701973281625,-1,0.05943510424915388,0.987697047318683,S1A_IW_GRDH_1SDV_20191209T085320_20191209T085345_030269_037606_A561.zip
2019-12-21,2.028379512016489,0.01754836391137572,17.539558636963445,15.626060994979367,-1,0.05936646676785884,0.988157242431349,S1A_IW_GRDH_1SDV_20191221T085320_20191221T085345_030444_037C13_BD9E.zip
2019-12-28,2.0200400736849917,0.012414522844498826,24.272465503293734,21.339886240347106,-1,0.34796477878566634,-1.002463227598433,S1A_IW_GRDH_1SDV_20191228T084511_20191228T084536_030546_037F97_504A.zip
2020-01-02,2.026952091744431,0.01738119304077257,17.53929520987246,15.625834213769698,-1,0.05931393563760956,0.9882345639971888,S1A_IW_GRDH_1SDV_20200102T085319_20200102T085344_030619_038219_7FBF.zip
2020-01-09,2.0222006594404798,0.013908926878082192,24.273775509224606,21.340966188893777,-1,0.34800560493183497,-1.0028822209264021,S1A_IW_GRDH_1SDV_20200109T084510_20200109T084535_030721_0385A4_EF6E.zip
2020-01-14,2.0286858395238636,0.018251550383594908,17.633931757724547,15.710191445961275,-1,0.05932485556594358,0.9886792467559715,S1A_IW_GRDH_1SDV_20200114T085319_20200114T085344_030794_03883A_F620.zip
2020-01-26,2.0298032201399705,0.02055771843452605,17.631018708760543,15.707579574811477,-1,0.05936847484840513,0.9885561264955101,S1A_IW_GRDH_1SDV_20200126T085319_20200126T085344_030969_038E65_F0AB.zip
2020-02-02,2.021777815087379,0.013243560376031317,24.38835330178197,21.441332369059392,-1,0.34821898455456335,-1.002030350718833,S1A_IW_GRDH_1SDV_20200202T084509_20200202T084534_031071_0391E8_7828.zip
2020-02-07,2.0311974388762426,0.021025921064941215,17.61324320238575,15.692024326698165,-1,0.059855566125719406,0.9871589709317803,S1A_IW_GRDH_1SDV_20200207T085318_20200207T085343_031144_03947D_EE8E.zip
2020-02-19,2.0289968149261672,0.0181278895578112,17.724290614067208,15.79096238943152,-1,0.059700792018070103,0.9871634681187302,S1A_IW_GRDH_1SDV_20200219T085318_20200219T085343_031319_039A8A_11AB.zip
2020-02-26,2.02322721286555,0.014765093886159921,24.38935422994442,21.442183184273052,-1,0.34825161522388015,-1.0022085427302017,S1A_IW_GRDH_1SDV_20200226T084509_20200226T084534_031421_039E01_B567.zip
2020-03-02,2.029755716057646,0.018953694088773666,17.67616828801344,15.747936536334464,-1,0.059688095043249234,0.9871289974138051,S1A_IW_GRDH_1SDV_20200302T085318_20200302T085343_031494_03A08D_D25D.zip
2020-03-09,2.022136840379007,0.01507028137752975,24.386333899600416,21.43965064734108,-1,0.3483691464964451,-1.0014093316752408,S1A_IW_GRDH_1SDV_20200309T084509_20200309T084534_031596_03A414_51C9.zip
2020-03-14,2.029609697607583,0.018970436057487553,17.674027497536297,15.746098076406215,-1,0.059667841283999934,0.9878646487181868,S1A_IW_GRDH_1SDV_20200314T085318_20200314T085343_031669_03A6A3_F6D0.zip
2020-03-21,2.022398658200798,0.014871725854159837,24.386604631360115,21.439892280678507,-1,0.3483671280533436,-1.001380319486124,S1A_IW_GRDH_1SDV_20200321T084509_20200321T084534_031771_03AA34_F952.zip
2020-03-26,2.0288904098091516,0.01958981722108617,17.584004109963498,15.66585212625476,-1,0.059807612798419285,0.9873995264628377,S1A_IW_GRDH_1SDV_20200326T085318_20200326T085343_031844_03ACCC_420C.zip
2020-04-02,2.0220915371010566,0.013587967982208668,24.38758644140222,21.440707734916913,-1,0.3482890369632585,-1.0016987138554398,S1A_IW_GRDH_1SDV_20200402T084509_20200402T084534_031946_03B05D_EE6B.zip
